10.06.2021,Screen Violence,,,UK,Glasgow,private Venue
24.07.2021,Screen Violence,Splendour in the Grass XR,,Australia,Byron Bay,North Byron Parklands,Festival Set,x
25.08.2021,Screen Violence,,,USA,"New York, NY",The Tonight Show,Radio / TV
26.08.2021,Screen Violence,,,USA,"Burbank, CA",iHeart Radio Theater,Radio / TV
27.08.2021,Screen Violence,,,USA,"Los Angeles, CA",Masonic Lodge at Hollywood Forever,Festival Set,x
04.09.2021,Screen Violence,,,USA,"New York, NY",CBS This Morning ,Radio / TV
05.09.2021,Screen Violence,Day In Day Out Festival 2021,,USA,"Seattle, WA ",Fisher Green Stage,Festival Set,x avkv
08.09.2021,Screen Violence,,,USA,"Los Angeles, CA",Sirius XM Studios,Radio / TV
09.11.2021,Screen Violence,,,USA,"Houston, TX",The Lawn at White Oak Music Hall,Headline Show,x avkv 
10.11.2021,Screen Violence,,,USA,"Austin, TX",ACL Live at The Moody Theater,Headline Show,x
11.11.2021,Screen Violence,,,USA,"Austin, TX",ACL Live at The Moody Theater,Headline Show,x
12.11.2021,Screen Violence,,,USA,"Austin, TX",ACL Live at The Moody Theater,Headline Show,x
14.11.2021,Screen Violence,,,USA,"Dallas, TX",South Side Ballroom,Headline Show,x
15.11.2021,Screen Violence,,,USA,"Tulsa, OK",Cain's Ballroom,Headline Show,o
17.11.2021,Screen Violence,,,USA,"Minneapolis, MN",Minneapolis Armory,Headline Show,x
18.11.2021,Screen Violence,,,USA,"Milwaukee, WI",Riverside Theater,Headline Show,x
19.11.2021,Screen Violence,,,USA,"Chicago, IL ",Byline Bank Aragon Ballroom,Headline Show,x
20.11.2021,Screen Violence,,,USA,"Columbus, OH",EXPRESS LIVE!,Headline Show,x
22.11.2021,Screen Violence,,,USA,"Pittsburgh , PA",Stage AE,Headline Show,x avkv
23.11.2021,Screen Violence,,,USA,"Royal Oak, MI",Royal Oak Music Theatre,Headline Show,x avkv
24.11.2021,Screen Violence,,,Canada,"Toronto, Ontario",History Toronto,Headline Show,x
26.11.2021,Screen Violence,,,USA,"New York, NY",Terminal 5,Headline Show,x avkv
27.11.2021,Screen Violence,,,USA,"New York, NY",Terminal 5,Headline Show,x avkv
30.11.2021,Screen Violence,,,USA,Washington DC,The Anthem,Headline Show,x avkv
01.12.2021,Screen Violence,,,USA,"Boston, MA",House of Blues,Headline Show,o
02.12.2021,Screen Violence,,,USA,"New Haven, CT",College Street Music Hall,Headline Show,x avkv
03.12.2021,Screen Violence,,,USA,"Philadelphia, PA",Franklin Music Hall,Headline Show,x avkv
05.12.2021,Screen Violence,,,USA,"Newport, KY",PromoWest Pavilion at Ovation,Headline Show,j
06.12.2021,Screen Violence,,,USA,"St. Louis, MO",The Pageant,Headline Show,x
08.12.2021,Screen Violence,,,USA,"Denver, CO",Mission Ballroom,Headline Show,x
09.12.2021,Screen Violence,,,USA,"Boulder, CO",Boulder Theater,Headline Show,x avkv
11.12.2021,Screen Violence,,,USA,"Las Vegas, NV",Brooklyn Bowl,Headline Show,x avkv
13.12.2021,Screen Violence,,,USA,"San Diego, CA",The Observatory North Park,Headline Show,x avkv
14.12.2021,Screen Violence,,,USA,"San Diego, CA",The Observatory North Park,Headline Show,x avkv
16.12.2021,Screen Violence,,,USA,"San Francisco, CA",Bill Graham Civic Auditorium,Headline Show,x avkv 
17.12.2021,Screen Violence,,,USA,"Los Angeles, CA",Hollywood Palladium,Headline Show,x avkv 
18.12.2021,Screen Violence,,,USA,"Los Angeles, CA",Hollywood Palladium,Radio / TV
18.12.2021,Screen Violence,,,USA,"Los Angeles, CA",Hollywood Palladium,Headline Show,x
02.03.2022,Screen Violence,NME Awards,,UK,London,O2 Academy Brixton,Radio / TV
12.03.2022,Screen Violence,,,UK,Glasgow,SWG3,Headline Show,j
14.03.2022,Screen Violence,,,UK,Edinburgh,O2 Academy Edinburgh,Headline Show,x avkv
15.03.2022,Screen Violence,,,UK,Newcastle upon Tyne,O2 City Hall Newcastle,Headline Show,x avkv
16.03.2022,Screen Violence,with Robert Smith,,UK,London,O2 Academy Brixton,Headline Show,x
18.03.2022,Screen Violence,,,UK,Birmingham,O2 Academy,Headline Show,x avkv
19.03.2022,Screen Violence,,,UK,Manchester,O2 Apollo Manchester,Headline Show,x avkv
30.04.2022,Screen Violence,Shaky Knees Music Festival 2022,,USA,"Atlanta, GA",Central Park,Festival Set,x
13.05.2022,Screen Violence,Tecate Emblema 2022,,Mexico,Mexico City,Autodromo Hermanos Rodriguez,Festival Set,x avkv
18.05.2022,Screen Violence,,,Mexico,San Pedro Garza Garcia,Showcenter Complex,Headline Show,o
21.05.2022,Screen Violence,Corona Capital Guadalajara 2022,,Mexico,Guadalajara,Valle VFG,Festival Set,x
26.05.2022,Screen Violence,BottleRock AfterDark 2022,,USA,"San Francisco, CA",The Fillmore,Headline Show,x avkv
27.05.2022,Screen Violence,BottleRock Napa Valley 2022,,USA,"Napa, CA",Napa Valley Expo,Festival Set,x avkv
28.05.2022,Screen Violence,BottleRock AfterDark 2022,,USA,"Napa, CA",JaM Cellars Ballroom,Festival Set,x avkv
30.05.2022,Screen Violence,,,USA,"St. Petersburg, FL",Jannus Live,Headline Show,x avkv
31.05.2022,Screen Violence,,,USA,"Fort Lauderdale, FL",Revolution Live,Headline Show,x avkv
01.06.2022,Screen Violence,,,USA,"Lake Buena Vista, FL",House of Blues,Headline Show,x avkv
02.06.2022,Screen Violence,,,USA,"Raleigh, NC",The Ritz,Headline Show,x avkv
04.06.2022,Screen Violence,,,USA,"Charlotte, NC",The Fillmore,Headline Show,x avkv
05.06.2022,Screen Violence,,,USA,Washington DC,9:30 Club,Headline Show,x avkv
06.06.2022,Screen Violence,,,USA,Washington DC,9:30 Club,Headline Show,x avkv
07.06.2022,Screen Violence,,,USA,Washington DC,9:30 Club,Headline Show,x avkv
09.06.2022,Screen Violence,,,USA,"Lewinston, NY",Artpark Mainstage,Headline Show,o
10.06.2022,Screen Violence,,,USA,"Grand Rapids, MI",GLC Live at 20 Monroe,Headline Show,x avkv
11.06.2022,Screen Violence,WonderRoad 2022,,USA,"Indianapolis, IN",Garfield Park,Festival Set,x
13.06.2022,Screen Violence,,,USA,"Madison, WI",The Sylvee,Headline Show,x avkv
15.06.2022,Screen Violence,,,USA,"Lincoln, NE",Bourbon Theatre,Headline Show,o
16.06.2022,Screen Violence,,,USA,"Kansas City, MO",Uptown Theater,Headline Show,x avkv
18.06.2022,Screen Violence,Bonnaroo 2022,,USA,"Manchester, TN",Great Stage Park,Festival Set,x
01.07.2022,Screen Violence,Roskilde Festival 2022,,Denmark,Roskilde,Dyrskuepladsen,Festival Set,j
06.07.2022,Screen Violence,Mad Cool Festival 2022,,Spain,Madrid,IFEMA,Festival Set,j
24.07.2022,Screen Violence,Floatfest 2022,,USA,"Gonzales, TX",Float Fest Ranch,Festival Set,x
26.07.2022,Screen Violence,,,USA,"New Orleans, LA",Orpheum Theatre,Headline Show,o
27.07.2022,Screen Violence,,,USA,"Birmingham, AL",Iron City,Headline Show,x avkv
29.07.2022,Screen Violence,,,USA,"Atlanta, GA",Coca-Cola Roxy,Headline Show,x avkv
30.07.2022,Screen Violence,,,USA,"Asheville, NC",The Orange Peel,Headline Show,x avkv
31.07.2022,Screen Violence,,,USA,"Richmond, VA",The National,Headline Show,x avkv
01.08.2022,Screen Violence,,,USA,"Norfolk, VA",The NorVa,Headline Show,x avkv
03.08.2022,Screen Violence,,,USA,"Brooklyn, NY",The Brooklyn Mirage,Headline Show,x
04.08.2022,Screen Violence,,,USA,"Boston, MA",Roadrunner,Headline Show,fernando
05.08.2022,Screen Violence,,,USA,"North Adams, MA",MASS MoCa,Headline Show,fernando
17.09.2022,Screen Violence,OUTLOUD Music Festival 2022,,USA,"Nashville, TN",Festival Grounds at Main Event Parking Lot,Festival Set,x
20.09.2022,Screen Violence,,,USA,"Denver, CO",Mission Ballroom,Headline Show,x avkv
22.09.2022,Screen Violence,,,USA,"Ogden, UT",Ogden Amphitheater,Headline Show,x avkv
24.09.2022,Screen Violence,,,USA,"Tempe, AZ",Marquee Theater,Headline Show,x avkv
25.09.2022,Screen Violence,KCRW Festival,,USA,"Los Angeles, CA",Hollywood Bowl,Co-Headline,x avkv
26.09.2022,Screen Violence,,,USA,"Sacramento, CA",Ace of Spades,Headline Show,x avkv
28.09.2022,Screen Violence,,,Canada,"Vancouver, BC",Queen Elizabeth Theatre,Headline Show,j
30.09.2022,Screen Violence,,,USA,"Seattle, WA ",Paramount Theatre,Headline Show,x avkv
01.10.2022,Screen Violence,,,USA,"Portland, OR ",Roseland Theater,Headline Show,x avkv
02.10.2022,Screen Violence,,,USA,"Spokane, WA",Knitting Factory,Headline Show,x avkv
03.10.2022,Screen Violence,,,USA,"Boise, ID",Knitting Factory,Headline Show,x avkv
30.12.2022,Screen Violence,Falls Music Festival Victoria 2022,,Australia,Melbourne,Sidney Myer Music Bowl,Festival Set,o
01.01.2023,Screen Violence,Falls Music Festival New South Wales 2022,,Australia,Byron Bay,North Byron Parklands,Festival Set,x
06.01.2023,Screen Violence,Heaps Good Festival 2023,,Australia,Adelaide,Adelaide Showground,Festival Set,x
08.01.2023,Screen Violence,Falls Music Festival Fremantle 2023,,Australia,Fremantle,Fremantle Park,Festival Set,x
11.01.2023,Screen Violence,,,Japan,Tokyo,Zepp Haneda,Headline Show,x avkv
12.01.2023,Screen Violence,,,Japan,Osaka,Nanba Hatch,Headline Show,x avkv
14.01.2023,Screen Violence,iHeartRadio ALTer EGO 2023,,USA,"Inglewood, CA",Kia Forum,Radio / TV,x avkv
10.03.2023,Screen Violence,,,Brazil,Sao Paulo,Estadio do Morumbi,Opener,x
11.03.2023,Screen Violence,,,Brazil,Sao Paulo,Estadio do Morumbi,Opener,x
13.03.2023,Screen Violence,,,Brazil,Sao Paulo,Estadio do Morumbi,Opener,x
14.03.2023,Screen Violence,,,Brazil,Sao Paulo,Estadio do Morumbi,Opener,x
16.03.2023,Screen Violence,,,Brazil,Sao Paulo,Audio,Headline Show,o
16.03.2023,Screen Violence,,,Brazil,Sao Paulo,Audio,Headline Show,o
17.03.2023,Screen Violence,,,Brazil,Sao Paulo,Estadio do Morumbi,Opener,x
18.03.2023,Screen Violence,,,Brazil,Sao Paulo,Estadio do Morumbi,Opener,x
21.03.2023,Screen Violence,,,Brazil,Curitiba,Estadio Couto Pereira,Opener
22.03.2023,Screen Violence,,,Brazil,Curitiba,Estadio Couto Pereira,Opener
24.03.2023,Screen Violence,,,Brazil,Rio de Janeiro,Sacadura 154,Headline Show,x avkv
25.03.2023,Screen Violence,,,Brazil,Rio de Janeiro,Estadio Olimpico Nilton Santos,Opener,x avkv
26.03.2023,Screen Violence,,,Brazil,Rio de Janeiro,Estadio Olimpico Nilton Santos,Opener,x avkv
28.03.2023,Screen Violence,,,Brazil,Rio de Janeiro,Estadio Olimpico Nilton Santos,Opener
03.04.2023,Screen Violence,,,USA,"New York, NY",The Tonight Show,Radio / TV
24.05.2023,Screen Violence,,,Spain,Barcelona,Estadi Olimpic Lluis Companys,Opener
25.05.2023,Screen Violence,,,Spain,Barcelona,Estadi Olimpic Lluis Companys,Opener
27.05.2023,Screen Violence,,,Spain,Barcelona,Estadi Olimpic Lluis Companys,Opener
28.05.2023,Screen Violence,,,Spain,Barcelona,Estadi Olimpic Lluis Companys,Opener
31.05.2023,Screen Violence,,,UK,Manchester,Etihad Stadium,Opener
01.06.2023,Screen Violence,,,UK,Manchester,Etihad Stadium,Opener
03.06.2023,Screen Violence,,,UK,Manchester,Etihad Stadium,Opener
04.06.2023,Screen Violence,,,UK,Manchester,Etihad Stadium,Opener
06.06.2023,Screen Violence,,,UK,Cardiff,Principality Stadium,Opener
07.06.2023,Screen Violence,,,UK,Cardiff,Principality Stadium,Opener
09.06.2023,Screen Violence,,,UK,Nottingham,Rock City,Headline Show,x
10.06.2023,Screen Violence,,,UK,Glasgow,Barrowland,Headline Show,x avkv
11.06.2023,Screen Violence,,,UK,Glasgow,Barrowland,Headline Show,x avkv
12.06.2023,Screen Violence,,,UK,Dundee,Fat Sam's,Headline Show,x avkv
17.06.2023,Screen Violence,Hurricane Festival 2023,,Germany,Scheeßel,Eichenring,Festival Set
18.06.2023,Screen Violence,Southside Festival 2023,,Germany,Neuhausen ob Eck,take-off GewerbePark,Festival Set
21.06.2023,Screen Violence,,,Italy,Naples,Stadio Diego Armando Maradona,Opener
22.06.2023,Screen Violence,,,Italy,Naples,Stadio Diego Armando Maradona,Opener
23.06.2023,Screen Violence,Glastonbury Festival 2023,,UK,Pilton,Worthy Farm,Festival Set
25.06.2023,Screen Violence,,,Italy,Milan,Stadio Guiseppe Meazza,Opener
26.06.2023,Screen Violence,,,Italy,Milan,Stadio Guiseppe Meazza,Opener
28.06.2023,Screen Violence,,,Italy,Milan,Stadio Guiseppe Meazza,Opener
29.06.2023,Screen Violence,,,Italy,Milan,Stadio Guiseppe Meazza,Opener
